id,text,processed_text
367,White wine,white wine
368,Rosé wine,ro wine
369,Dessert wine,dessert wine
370,Champagne,champagne
371,Sparkling wine,sparkling wine
372,Vodka,vodka
373,Rum,rum
374,WhiskeyScotchBourbon,whiskeyscotchbourbon
375,Cognac,cognac
376,Gin,gin
377,Tequila,tequila
378,Brandy,brandy
379,PortFortified Wine,portfortified wine
380,Cider,cider
381,Alcopops eg Breezers Smirnoff Ice,alcopops eg breezers smirnoff ice
382,Flavored liquor eg Absinthe Bitters,flavored liquor eg absinthe bitter
383,Liqueurs eg Kahlúa Midori,liqueur eg kahl midori
384,Milk,milk
385,Nonalcoholic beer,nonalcoholic beer
386,Tonic water,tonic water
387,Less than one drink per week,le one drink per week
388,1 to 3 drinks,1 3 drink
389,4 to 5 drinks,4 5 drink
390,Six or More,six
391,I dont drink alcohol,dont drink alcohol
392,Arts and crafts,art craft
393,Boating,boating
394,Camping,camping
395,Cooking,cooking
396,Extreme sports,extreme sport
397,Golf,golf
398,Health and fitness,health fitness
399,Holiday house,holiday house
400,Horses,horse
401,HuntingFishing,huntingfishing
402,Interior decoratingRenovating,interior decoratingrenovating
403,Motor caravaning,motor caravaning
404,Participating in athletics,participating athletics
405,Playing music,playing music
406,Playing videocomputer games,playing videocomputer game
407,Reading,reading
408,Skiing,skiing
409,TechnologyComputers,technologycomputers
410,Travel,travel
411,Watching sports on TV,watching sport tv
412,Gardening,gardening
413,Less than once a month,le month
414,One time per month,one time per month
415,Two times per month,two time per month
416,Three times per month,three time per month
417,Four times per month,four time per month
418,Five or more times per month,five time per month
419,I dont go to movie theaters,dont go movie theater
420,Prefer not to answer,prefer answer
421,Action,action
422,Animated,animated
423,Childrens films,childrens film
424,Comedy,comedy
425,Documentary,documentary
426,Drama,drama
427,Dramedy,dramedy
428,ForeignArtisticCultural,foreignartisticcultural
429,Horror,horror
430,Musicals,musical
431,Mystery,mystery
432,Science Fiction,science fiction
433,Thriller,thriller
434,I dont rent or download movies,dont rent download movie
435,0,0
436,1 to 3,1 3
437,4 to 6,4 6
438,7 to 10,7 10
439,11 or more,11
440,Less than one hour per week,le one hour per week
441,1 to 2 hours per week,1 2 hour per week
442,3 to 4 hours per week,3 4 hour per week
443,5 to 6 hours per week,5 6 hour per week
444,7 to 8 hours per week,7 8 hour per week
445,9 to 10 hours per week,9 10 hour per week
446,11 hours or more per week,11 hour per week
447,I dont exerciseparticipate in any sports,dont exerciseparticipate sport
448,Archery,archery
449,Badminton,badminton
450,Baseball,baseball
451,Basketball,basketball
452,Bicycling,bicycling
453,Canoeing or Kayaking,canoeing kayaking
454,Cricket,cricket
455,Football,football
456,Hiking,hiking
457,Hockey  field,hockey field
458,Hockey  ice,hockey ice
459,Hunting,hunting
460,Jogging,jogging
461,Raquetball,raquetball
462,Rock Climbing,rock climbing
463,Rowing,rowing
464,Rugby,rugby
465,Sailing,sailing
466,Skate boarding,skate boarding
467,Skiing  cross country,skiing cross country
468,Skiing  downhill,skiing downhill
469,Snowboarding,snowboarding
470,Soccer,soccer
471,Squash,squash
472,Swimming,swimming
473,Tennis,tennis
474,Wrestling,wrestling
475,I dont participate regularly in sports,dont participate regularly sport
476,Online sports betting,online sport betting
477,Online lotteryscratchcard,online lotteryscratchcard
478,Online pokercasino gaming,online pokercasino gaming
479,Offline sports betting,offline sport betting
480,Offline lotteryscratchcard,offline lotteryscratchcard
481,Bingo,bingo
482,Casino pokerBlackJackRouletteetc,casino pokerblackjackrouletteetc
483,Casino Slot Machines,casino slot machine
484,Horse Track Betting,horse track betting
485,Car Race Betting,car race betting
486,I dont gamble at all,dont gamble
487,BlurayDVD player,bluraydvd player
488,Flat Screen TV,flat screen tv
489,3D TV,3d tv
490,Portable game console eg Sony PSP GO,portable game console eg sony psp go
491,Stationary game console eg Nintendo Wii,stationary game console eg nintendo wii
492,Video CameraCamcorder,video cameracamcorder
493,Digital Camera,digital camera
494,Digital SLR Camera,digital slr camera
495,PCMac stationary or desktop,pcmac stationary desktop
496,PCMac laptop or portable,pcmac laptop portable
497,Cell Phone,cell phone
498,Cordless Phone,cordless phone
499,MP3 playeriPod,mp3 playeripod
500,Projector,projector
501,Scanner,scanner
502,Cable TVSatellite TV,cable tvsatellite tv
503,Digital TV receiver,digital tv receiver
504,Printer,printer
505,Multipurpose printer fax printer phone etc,multipurpose printer fax printer phone etc
506,Home NetworkWireless Internet,home networkwireless internet
507,Surround SystemHome Cinema,surround systemhome cinema
508,Digital Media Receiver eg Apple TV Vudu,digital medium receiver eg apple tv vudu
509,Tablet eg iPad,tablet eg ipad
510,Ebook reader eg Kindle,ebook reader eg kindle
511,Alltel,alltel
512,ATT,att
513,Boost Mobile,boost mobile
514,MetroPCS,metropcs
515,Nextel,nextel
516,Sprint,sprint
517,TMobile,tmobile
518,Tracfone,tracfone
519,US Cellular,u cellular
520,Verizon,verizon
521,Virgin Mobile,virgin mobile
522,I dont have a mobile phone,dont mobile phone
523,BT Mobile,bt mobile
524,EE,ee
525,giffgaff,giffgaff
526,iD Mobile,id mobile
527,O2,o2
528,Orange,orange
529,Sainsburys,sainsburys
530,Talkmobile,talkmobile
531,TalkTalk,talktalk
532,Tesco Mobile,tesco mobile
533,Three,three
534,Virgin Media,virgin medium
535,Vodafone,vodafone
536,Prepaid,prepaid
537,Contract,contract
538,I dont know,dont know
539,Yes for business,yes business
540,Yes for personal,yes personal
541,Yes for both,yes
542,I dont own a smartphone,dont smartphone
543,ModemDialup,modemdialup
544,DSL,dsl
545,Cable,cable
546,Satellite,satellite
547,Wireless,wireless
548,I have no internet connection at home,internet connection home
549,Windows based desktoplaptop,window based desktoplaptop
550,Apple based desktoplaptop,apple based desktoplaptop
551,Apple based mobile device iPodiPadiPhone,apple based mobile device ipodipadiphone
552,Microsoft Xbox,microsoft xbox
553,Microsoft Xbox 360,microsoft xbox 360
554,Nintendo DSLite,nintendo dslite
555,Nintendo DSIDSI XL,nintendo dsidsi xl
556,Nintendo 3DS,nintendo 3d
557,Nintendo Game Boy AdvanceSP,nintendo game boy advancesp
558,Nintendo Game BoyColor,nintendo game boycolor
559,Nintendo 64,nintendo 64
560,Nintendo GameCube,nintendo gamecube
561,Nintendo Wii,nintendo wii
562,Sega Dreamcast,sega dreamcast
563,Sony PlayStation,sony playstation
564,Sony PlayStation 2,sony playstation 2
565,Sony PlayStation 3Slim,sony playstation 3slim
566,Sony PSP,sony psp
567,Sony PSP Go,sony psp go
568,I dont play videocomputer games,dont play videocomputer game
569,Microsoft Xbox One,microsoft xbox one
570,Sony PlayStation 4,sony playstation 4
571,Nintendo Switch,nintendo switch
572,First Person ShooterAction eg Call of Duty,first person shooteraction eg call duty
573,3rd Person ShooterAction eg Gears of War,3rd person shooteraction eg gear war
574,3rd Person Adventure eg Super Mario Galaxy,3rd person adventure eg super mario galaxy
575,Point  Click Adventure eg Myst,point click adventure eg myst
576,Life Simulations eg The Sims,life simulation eg sims
577,Music and Dance eg Rockband,music dance eg rockband
578,Sports eg FIFA,sport eg fifa
579,Real Time StrategyRTS eg Command  Conquer,real time strategyrts eg command conquer
580,Role Playing GameRPG eg Final Fantasy,role playing gamerpg eg final fantasy
581,Massively Multiplayer OnlineMMO eg Warcraft,massively multiplayer onlinemmo eg warcraft
582,Vehicle Racing eg Need for Speed,vehicle racing eg need speed
583,Flight Simulation eg MS Flight Simulator,flight simulation eg m flight simulator
584,Fighting eg Street Fighter,fighting eg street fighter
585,Puzzle eg Professor Layton,puzzle eg professor layton
586,Party Games eg Wii Sports,party game eg wii sport
587,Casual eg Facebook games,casual eg facebook game
588,Less than 1 hour,le 1 hour
589,1 to 3 hours,1 3 hour
590,4 to 10 hours,4 10 hour
591,11 to 15 hours,11 15 hour
592,16 to 20 hours,16 20 hour
593,21 to 25 hours,21 25 hour
594,More than 25 hours,25 hour
595,None,none
596,Alone,alone
597,With others in the same roomhouse,others roomhouse
598,With others through an Internet connection,others internet connection
599,Games Console,game console
600,Computer or Laptop,computer laptop
601,Portable Gaming Device,portable gaming device
602,CellphoneSmartphone or other Handheld Organizer,cellphonesmartphone handheld organizer
603,Less than 1 game,le 1 game
604,1 to 2 games,1 2 game
605,3 to 5 games,3 5 game
606,6 to 8 games,6 8 game
607,9 to 10 games,9 10 game
608,More than 10 games,10 game
609,I dont buy any videocomputer games,dont buy videocomputer game
610,No I dont,dont
611,5 hours or less,5 hour le
612,6 to 10 hours,6 10 hour
613,11 to 20 hours,11 20 hour
614,More than 20 hours,20 hour
615,I dont watch TV,dont watch tv
616,I dont listen to radio,dont listen radio
617,Newspaper,newspaper
618,Arts  crafts magazines,art craft magazine
619,Automotive magazines,automotive magazine
620,Computers  Electronics magazines,computer electronics magazine
621,Cooking  Food magazines,cooking food magazine
622,Entertainment  TV magazines,entertainment tv magazine
623,Fashion Style or Beauty magazines,fashion style beauty magazine
624,Financial  Business magazines,financial business magazine
625,Health Fitness or Sports magazines,health fitness sport magazine
626,House  Gardening magazines,house gardening magazine
627,Music magazines,music magazine
628,Science Nature or Medical magazines,science nature medical magazine
629,Technology magazines,technology magazine
630,Teen magazines,teen magazine
631,Travel magazines,travel magazine
632,Other weeklymonthly magazines,weeklymonthly magazine
633,I dont read newspapers or magazines,dont read newspaper magazine
634,Business,business
635,Leisure,leisure
636,Both Leisure and Business,leisure business
637,Neither I dont travel by plane,neither dont travel plane
638,Domestic,domestic
639,International,international
640,Both domestic and international,domestic international
641,FLIGHT_TYPE_NA,flight type na
642,AirTran,airtran
643,Alaska Airlines,alaska airline
644,American Airlines,american airline
645,Continental Airlines,continental airline
646,Delta Air Lines,delta air line
647,Jet Blue,jet blue
648,Northwest Airlines,northwest airline
649,Southwest Airlines,southwest airline
650,United Airlines,united airline
651,US Airways,u airway
652,Virgin Atlantic,virgin atlantic
653,I dont travel by plane,dont travel plane
654,Aegean Aviation,aegean aviation
655,Aer Lingus,aer lingus
656,Aero Asia,aero asia
657,Aeroflot,aeroflot
658,Aerolineas Argentinas,aerolineas argentina
659,Aeromexico,aeromexico
660,Air Algerie,air algerie
661,Air Berlin,air berlin
662,Air Canada,air canada
663,Air China,air china
664,Air Europa,air europa
665,Air France,air france
666,Air India,air india
667,Air New Zealand,air new zealand
668,Air One,air one
669,AirAsia,airasia
670,All Nippon,nippon
671,Austrain Airlines Group,austrain airline group
672,British Airways,british airway
673,Cathay Pacific,cathay pacific
674,China Airlines,china airline
675,easyJet,easyjet
676,EgyptAir,egyptair
677,El Al,el al
678,Emirates,emirate
679,EVA Air,eva air
680,Finnair Group,finnair group
681,Japan Airlines,japan airline
682,Kenya Airways,kenya airway
683,Kingfisher Red,kingfisher red
684,KLM,klm
685,Korean Air,korean air
686,LAN Airlines,lan airline
687,Lufthansa,lufthansa
688,Mexican de Aviacion,mexican de aviacion
689,Mexicana,mexicana
690,Norwegian,norwegian
691,Olympic Airlines,olympic airline
692,Philippine Airlines,philippine airline
693,Qantas Airways,qantas airway
694,Royal Jordanian,royal jordanian
695,Ryanair,ryanair
696,Saudi Arabian Airlines,saudi arabian airline
697,Scandinavian Airlines SAS,scandinavian airline sa
698,Singapore Airlines,singapore airline
699,Skywest Airlines,skywest airline
700,South African Airways,south african airway
701,Swissair,swissair
702,Tunisair,tunisair
703,Volaris,volaris
704,North America,north america
705,Central America,central america
706,South America,south america
707,Asia,asia
708,Australia or the rest of Oceania,australia rest oceania
709,Europe,europe
710,Middle East,middle east
711,Africa,africa
712,I havent travelled abroad in the last 12 months,havent travelled abroad last 12 month
713,1 star hotel,1 star hotel
714,2 star hotel,2 star hotel
715,3 star hotel,3 star hotel
716,4 star hotel,4 star hotel
717,5 star hotel,5 star hotel
718,Better than a 5 star hotel,better 5 star hotel
719,Bed and Breakfast,bed breakfast
720,I have not stayed at a hotel in the last 12 months,stayed hotel last 12 month
721,Yes I smoke,yes smoke
722,Yes I smoke now and then,yes smoke
723,Yes I smoke but Im planning to quit,yes smoke im planning quit
724,No I dont smoke,dont smoke
725,No I dont smoke but use other tobacco products,dont smoke use tobacco product
726,Less than one a day,le one day
727,1 to 3 cigarettes,1 3 cigarette
728,4 to 6 cigarettes,4 6 cigarette
729,7 to 10 cigarettes,7 10 cigarette
730,More than 10 cigarettes,10 cigarette
731,I dont smoke cigarettes,dont smoke cigarette
732,Acupuncture,acupuncture
733,Buproprion,buproprion
734,Chamomille,chamomille
735,ChantixChampix,chantixchampix
736,Cold Turkey,cold turkey
737,Inhalers,inhaler
738,Kava,kava
739,Nicoderm CQ,nicoderm cq
740,Nicotine Anonymous,nicotine anonymous
741,Nicotine gum,nicotine gum
742,Nicotine lozenge,nicotine lozenge
743,Nicotine Patch,nicotine patch
744,Nicotine replacement therapy,nicotine replacement therapy
745,Smoking cessation,smoking cessation
746,Transdermal patch,transdermal patch
747,Wellbutrin,wellbutrin
748,Other productsmethods,productsmethods
749,I dont smokehavent tried to quit,dont smokehavent tried quit
750,Acne,acne
751,ADDADHD,addadhd
752,Allergies not associated with Hay Fever,allergy associated hay fever
753,Anemia,anemia
754,Angina,angina
755,Anxiety,anxiety
756,ArrhythmiaAtrial Fibrillation,arrhythmiaatrial fibrillation
757,Arthritis,arthritis
758,Asthma,asthma
759,Back Pain,back pain
760,Bipolar Disorder,bipolar disorder
761,Blood Disorders non Cancerous,blood disorder non cancerous
762,Bronchitis,bronchitis
763,Cancer,cancer
764,Cardiovascular Disease,cardiovascular disease
765,Carpal Tunnel Syndrome,carpal tunnel syndrome
766,Chronic Fatigue Syndrome,chronic fatigue syndrome
767,Chronic Kidney Disease,chronic kidney disease
768,Chronic Lymphocytic Leukemia,chronic lymphocytic leukemia
769,COPD,copd
770,Cirrhosis,cirrhosis
771,Colitis,colitis
772,Constipation,constipation
773,Crohns Disease,crohn disease
774,Cystic Fibrosis,cystic fibrosis
775,Dental Problems,dental problem
776,Depression,depression
777,Diabetes,diabetes
778,DiarrheaDiarrhoea,diarrheadiarrhoea
779,Eczema,eczema
780,Emphysema,emphysema
781,Endometriosis,endometriosis
782,Epilepsy,epilepsy
783,Erectile Dysfunction ED,erectile dysfunction ed
784,Fibromyalgia,fibromyalgia
785,Food Intolerances,food intolerance
786,Gastro Esophageal Reflux GERD,gastro esophageal reflux gerd
787,Gastroenteritis,gastroenteritis
788,Gout,gout
789,Hemophilia,hemophilia
790,Hemorrhoids,hemorrhoid
791,Hay Fever,hay fever
792,Heart Conditions not heart failure,heart condition heart failure
793,Heart Failure,heart failure
794,I dont have any illnessesconditions,dont illnessesconditions
795,Alzheimer,alzheimer
796,Dementia,dementia
797,Hepatitis,hepatitis
798,High Cholesterol,high cholesterol
799,HIV  Aids,hiv aid
800,Hypertension,hypertension
801,Hypothyroidism,hypothyroidism
802,Impotence,impotence
803,Infertility,infertility
804,Irritable Bowel Syndrome,irritable bowel syndrome
805,Joint Replacement,joint replacement
806,Kidney Failure,kidney failure
807,Liver Cirrhosis,liver cirrhosis
808,Liver Disorders other than cancer or cirrhosis,liver disorder cancer cirrhosis
809,Lupus,lupus
810,Lyme Disease,lyme disease
811,Menopause,menopause
812,Migraine,migraine
813,Motor Neuron Disease,motor neuron disease
814,Multiple Sclerosis,multiple sclerosis
815,Obesity,obesity
816,Osteoarthritis,osteoarthritis
817,Osteoporosis,osteoporosis
818,Overactive Bladder,overactive bladder
819,Parkinsons disease,parkinson disease
820,Pneumonia,pneumonia
821,Premature ejaculation,premature ejaculation
822,Psoriasis,psoriasis
823,Reflux,reflux
824,Restless Leg Syndrome,restless leg syndrome
825,Rheumatoid Arthritis,rheumatoid arthritis
826,Schizophrenia,schizophrenia
827,Shingles,shingle
828,Sinusitis,sinusitis
829,Sleeping Disorder,sleeping disorder
830,Smoking Addiction,smoking addiction
831,Stroke,stroke
832,Substance Abuse DrugsAlcohol,substance abuse drugsalcohol
833,Syphilis,syphilis
834,Thyroid Problems,thyroid problem
835,Tuberculosis,tuberculosis
836,Ulcerative Colitis,ulcerative colitis
837,Ulcers,ulcer
838,Urinary Incontinence,urinary incontinence
839,Bowel cancer,bowel cancer
840,Bladder cancer,bladder cancer
841,Breast cancer,breast cancer
842,Kidney cancer,kidney cancer
843,Leukemia,leukemia
844,Liver cancer,liver cancer
845,Lung cancer,lung cancer
846,MelanomaSkin cancer,melanomaskin cancer
847,NonHodgkins Lymphoma,nonhodgkins lymphoma
848,Ovarian cancer,ovarian cancer
849,Pancreatic cancer,pancreatic cancer
850,Prostate cancer,prostate cancer
851,Thyroid cancer,thyroid cancer
852,Other cancer type,cancer type
853,I dont have cancer,dont cancer
854,Diabetes Type 1,diabetes type 1
855,Diabetes Type 2,diabetes type 2
856,I dont have diabetes,dont diabetes
857,Hepatitis A,hepatitis
858,Hepatitis B,hepatitis b
859,Hepatitis C,hepatitis c
860,Hepatitis  Other,hepatitis
861,I dont have hepatitis,dont hepatitis
862,No diagnosed illnessesconditions in household,diagnosed illnessesconditions household
863,I am not a caregiver,caregiver
864,Other cancer,cancer
865,No one in my household has cancer,one household cancer
866,Diabetes Type 3,diabetes type 3
867,No one in my household has diabetes,one household diabetes
868,No one in my household has hepatitis,one household hepatitis
869,Glasses,glass
870,Contact lenses,contact lens
871,Both Glasses and Contact lenses,glass contact lens
